rams_presto_usage.rpu_filedate,rams_presto_usage.rpu_line_number,rams_presto_usage.rpu_servdate,rams_presto_usage.rpu_trans_date,rams_presto_usage.rpu_farecard,rams_presto_usage.rpu_status,rams_presto_usage.rpu_usage_type,rams_presto_usage.rpu_or_dtype,rams_presto_usage.rpu_or_device,rams_presto_usage.rpu_or_presto_loc,rams_presto_usage.rpu_or_location,rams_presto_usage.rpu_or_ttime,rams_presto_usage.rpu_de_dtype,rams_presto_usage.rpu_de_device,rams_presto_usage.rpu_de_presto_loc,rams_presto_usage.rpu_de_location,rams_presto_usage.rpu_de_ttime,rams_presto_usage.rpu_ride_count,rams_presto_usage.rpu_loyalty,rams_presto_usage.rpu_deducted_fare,rams_presto_usage.rpu_xfer_credit,rams_presto_usage.rpu_xfer_company,rams_presto_usage.rpu_cashfare,rams_presto_usage.rpu_vehicle_id,rams_presto_usage.rpu_tripnumber,rams_presto_usage.rpu_uniclass,rams_presto_usage.rpu_go_trip,rams_presto_usage.rpu_or_trans_id,rams_presto_usage.rpu_de_trans_id,rams_presto_usage.rpu_route_no,rams_presto_usage.rpu_epurse_bal_old,rams_presto_usage.rpu_epurse_bal_new,rams_presto_usage.rpu_or_card_tsn,rams_presto_usage.rpu_de_card_tsn,rams_presto_usage.rpu_or_dev_tsn,rams_presto_usage.rpu_de_dev_tsn,rams_presto_usage.rpu_underpayment,rams_presto_usage.rpu_or_logical,rams_presto_usage.rpu_de_logical,rams_presto_usage.rpu_xfer_device,rams_presto_usage.rpu_xfer_regulation
20170101,7758,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,3702459,0,C,DCS,1122543,252,02,20:35:00,DCS,1122543,4063,63,21:17:00,1,6,1.10000002384,0,0,9.05000019073,543,2783969,0,65783-2,2930116838,2930114156,65,191.990005493,190.88999939,1714,1715,2330,2355,0,DCS_01426,DCS_01426,NULL,0
20170101,7762,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4415276,0,C,DCS,1117075,213,05,21:54:00,DCS,1117075,332,209,22:30:00,1,0,6.96999979019,0,0,7.84999990463,393,2781028,0,19811-2,2930097703,2930099126,19,36.4099998474,29.4400005341,1084,1085,1792,1815,0,DCS_02963,DCS_02963,NULL,0
20170101,7787,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,3949591,0,C,DCS,1116945,332,209,16:08:00,DCS,1116945,2768,05,16:46:00,1,6,0.97000002861,0,0,7.84999990463,434,2780984,0,19540-2,2930083560,2930093970,19,23.5,22.5300006866,1046,1047,2267,2293,0,DCS_03004,DCS_03004,NULL,0
20170101,7865,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4612096,0,C,DCS,1117132,3286,07,20:43:00,DCS,1117132,4091,91,21:05:00,1,0,1.42999994755,5,1,6.90000009537,579,2784972,0,92751-2,2930040889,2930052175,92,97.6600036621,96.2300033569,359,360,16,32,0,DCS_01636,DCS_01636,1117550,0
20170101,7909,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,356241,0,C,DCS,1122482,359,94,17:56:00,DCS,1122482,2911,96,18:18:00,1,8,0.72000002861,5,1,6.09999990463,981,2784768,0,91740-2,2930046931,2930030346,91,57.0499992371,56.3300018311,1200,1201,3675,3680,0,DCS_01562,DCS_01562,NULL,0
20170101,8030,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,289799,0,C,DCS,1117824,2396,16,16:53:00,DCS,1117824,4081,81,17:27:00,1,9,2.3599998951,5,1,7.94999980927,716,2780070,0,12601-2,2930031341,2930037601,12,60.4599990845,58.0999984741,3379,3380,2852,2865,0,DCS_01882,DCS_01882,NULL,0
20170101,8186,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,163976,0,C,DCS,1117081,219,05,22:57:00,DCS,1117081,4007,07,23:11:00,1,0,4.71000003815,0,0,5.30000019073,399,2784996,0,92841-2,2930119938,2930118161,92,76.8099975586,72.0999984741,695,696,2318,2324,0,DCS_02969,DCS_02969,NULL,0
20170101,8228,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,3661174,0,C,DCS,1117713,333,20,20:57:00,DCS,1117713,1214,18,21:44:00,1,0,9.27999973297,0,0,10.4499998093,504,2782976,0,40751-2,2930117814,2930115805,40,11.3400001526,25.5599994659,709,713,3747,3760,0,DCS_01193,DCS_01193,NULL,0
20170101,8241,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,281446,0,C,FTP,1329B6,50,091,16:45:00,FTP,130010,55,021,09:38:00,1,7,0.0,0,0,7.05000019073,0,0,0,NULL,2930257137,2930135924,NULL,96.6500015259,96.6500015259,2775,2772,3855,45,0,FTP_10638,FTP_00480,NULL,0
20170101,8286,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,148567,0,C,DCS,1117395,3708,22,07:16:00,DCS,1117395,252,02,07:57:00,1,8,0.0,0,0,9.19999980927,452,2781094,0,21194-4,2930248105,2930250548,21,16.2399997711,16.2399997711,3054,3055,3286,3292,0,DCS_01122,DCS_01122,NULL,0
20170101,8288,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4443883,0,C,DCS,1117117,252,02,22:46:00,DCS,1117117,421,33,23:25:00,1,8,0.0799999982119,0,0,9.14999961853,435,2782304,0,31871-2,2930050194,2930094219,31,25.8600006104,25.7800006866,952,953,1729,1751,0,DCS_03005,DCS_03005,NULL,0
20170101,8332,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,219672,0,C,DCS,1117026,252,02,23:48:00,DCS,1117026,496,34,00:40:00,1,7,1.26999998093,0,0,10.3000001907,344,2782313,0,31901-2,2930054543,2930050629,31,59.7799987793,58.5099983215,299,300,3897,3923,0,DCS_02914,DCS_02914,NULL,0
20170101,8481,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4322111,0,C,FTP,1330EC,55,021,15:04:00,FTP,1329B8,3,171,23:52:00,1,0,10.3500003815,0,0,11.6499996185,0,0,0,NULL,2929753803,2930018279,NULL,70.0500030518,39.5999984741,503,507,338,1159,0,FTP_00448,FTP_1064,NULL,0
20170101,8517,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,3790608,0,C,DCS,1117411,219,05,08:04:00,DCS,1117075,1565,20,20:03:00,1,6,0.959999978542,5,1,7.84999990463,393,2781012,0,19711-2,2929748393,2930097479,19,95.3099975586,91.4499969482,4029,4035,2547,1744,0,DCS_01138,DCS_02963,1117111,0
20170101,8542,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,383046,0,C,DCS,1116906,252,02,19:11:00,DCS,1116906,421,33,19:48:00,1,0,3.42000007629,5,1,9.14999961853,528,2782239,0,31731-2,2930086665,2930093955,31,18.9699993134,15.5500001907,128,129,1342,1375,0,DCS_01248,DCS_01248,1117026,0
20170101,8816,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,3843537,0,C,FTP,130010,55,021,20:05:00,FTP,13302E,43,131,20:58:00,1,0,7.05999994278,0,0,8.64999961853,0,0,4,NULL,2929933669,2930051366,NULL,45.1500015259,38.0900001526,335,336,3958,3693,0,FTP_00480,FTP_1129,NULL,0
20170101,8939,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,195150,0,C,DCS,1116860,219,05,15:37:00,DCS,1116860,1565,20,16:12:00,1,6,0.889999985695,5,1,7.84999990463,555,2780976,0,19501-2,2930119040,2930121279,19,78.2900009155,77.4000015259,3052,3053,2970,2983,0,DCS_01587,DCS_01587,1117039,0
20170101,9153,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4515244,0,C,DCS,1116988,2770,05,15:49:00,DCS,1116988,254,32,16:23:00,1,6,0.949999988079,0,0,7.84999990463,306,2782356,0,32431-2,2930019865,2930047840,32,94.9599990845,94.0100021362,596,597,2253,2273,0,DCS_02876,DCS_02876,NULL,0
20170101,9254,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4683452,0,C,DCS,1117403,252,02,22:54:00,DCS,1117403,1365,32,23:42:00,1,0,7.55000019073,0,0,8.5,460,2782305,0,31875-2,2930059141,2930094846,31,112.790000916,105.239997864,126,127,2076,2100,0,DCS_01130,DCS_01130,NULL,0
