rams_presto_salestran.rpt_deviceid,rams_presto_salestran.rpt_salesperiod,rams_presto_salestran.rpt_first_datetime,rams_presto_salestran.rpt_tran_number,rams_presto_salestran.rpt_tran_datetime,rams_presto_salestran.rpt_trx_type,rams_presto_salestran.rpt_ops_tsn,rams_presto_salestran.rpt_presto_location,rams_presto_salestran.rpt_device_location,rams_presto_salestran.rpt_location,rams_presto_salestran.rpt_purchase_id,rams_presto_salestran.rpt_amount,rams_presto_salestran.rpt_debitcredit,rams_presto_salestran.rpt_revenue,rams_presto_salestran.rpt_farecard,rams_presto_salestran.rpt_status,rams_presto_salestran.rpt_dat_filename,rams_presto_salestran.rpt_batchno,rams_presto_salestran.rpt_trans_type,rams_presto_salestran.rpt_pop_tcode,rams_presto_salestran.rpt_device_type,rams_presto_salestran.rpt_or_presto_loc,rams_presto_salestran.rpt_or_location,rams_presto_salestran.rpt_de_presto_loc,rams_presto_salestran.rpt_de_location,rams_presto_salestran.rpt_presto_trip,rams_presto_salestran.rpt_tripnumber,rams_presto_salestran.rpt_underpayment,rams_presto_salestran.rpt_trans_id,rams_presto_salestran.rpt_overdraft,rams_presto_salestran.rpt_line_id,rams_presto_salestran.rpt_vehicle_id,rams_presto_salestran.rpt_settlement_id,rams_presto_salestran.rpt_settlement_date,rams_presto_salestran.rpt_operation_tsn,rams_presto_salestran.rpt_pur_category,rams_presto_salestran.rpt_farecard_tsn,rams_presto_salestran.rpt_purchase_class,rams_presto_salestran.rpt_purchase_type,rams_presto_salestran.rpt_employeeid,rams_presto_salestran.rpt_ticket_ref,rams_presto_salestran.rpt_underpay_fee,rams_presto_salestran.rpt_voucherid_amt,rams_presto_salestran.rpt_voucherid_fr,rams_presto_salestran.rpt_settlement_status,rams_presto_salestran.rpt_logical_name
1117111,226,2017-01-10 00:00:00.0,6,2017-01-10 08:10:00.0,13,3508,709,0,0,16785928,0.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,709,97,359,94,2794869,90141-2,0.0,2936303343,0.0,90,429,201701110138,NULL,3508,1,0,0,0,08565,19947,0,NULL,NULL,NULL,DCS_02999
1176197,8,2017-01-10 00:00:00.0,1,2017-01-10 08:34:00.0,13,3275,2910,0,0,16785928,0.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,359,94,601,97,2794908,90340-2,0.0,2936888275,0.0,90,609,201701110138,NULL,3275,1,0,0,0,07344,17401,0,NULL,NULL,NULL,DCS_01726
1116977,12,2017-01-10 00:00:00.0,7,2017-01-10 18:53:00.0,13,3388,359,0,0,16785928,0.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,3651,94,359,94,2794979,90691-2,0.0,2936889101,0.0,90,295,201701110138,NULL,3388,1,0,0,0,07984,13840,0,NULL,NULL,NULL,DCS_02865
1117477,165,2017-01-10 00:00:00.0,1,2017-01-10 07:20:00.0,1,2377,2959,0,0,0,19.75,DB,Y,529164,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2791578,25111-2,0.0,2936734820,4.65000009537,25,488,201701110133,2017-01-11 15:02:11.0,2377,NULL,699,0,0,08521,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_01055
1117477,165,2017-01-10 00:00:00.0,2,2017-01-10 07:20:00.0,1,2377,2959,0,0,0,0.25,DB,Y,529164,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,POF,NULL,DCS,0,NULL,0,NULL,2791578,25111-2,0.0,2936734820,4.65000009537,25,488,201701110133,2017-01-11 15:02:11.0,2377,NULL,699,0,0,08521,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_01055
1116914,229,2017-01-10 00:00:00.0,1,2017-01-10 11:57:00.0,13,1234,213,0,0,16778753,6.40000009537,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,213,05,511,31,2792545,34361-2,0.0,2936517948,0.0,34,586,201701110138,NULL,1234,1,0,0,0,07400,17615,0,NULL,NULL,NULL,DCS_01642
1176203,201,2017-01-10 00:00:00.0,2,2017-01-10 11:32:00.0,1,3913,339,0,0,0,20.0,DB,Y,4352470,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2790031,12341-2,0.0,2936514510,0.0,12,708,201701110133,2017-01-11 15:02:11.0,3913,NULL,568,0,0,07516,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_01874
1117049,143,2017-01-10 00:00:00.0,4,2017-01-10 16:20:00.0,13,3324,219,0,0,16782853,4.5,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,219,05,11,331,2792464,33601-2,0.0,2937022549,0.0,33,605,201701110138,NULL,3324,1,0,0,0,08322,23224,0,NULL,NULL,NULL,DCS_01663
1117150,210,2017-01-10 00:00:00.0,1,2017-01-10 11:53:00.0,1,3141,329,0,0,0,20.0,DB,Y,3871146,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2793590,48390-2,0.0,2936591619,0.0,48,816,201701110133,2017-01-11 15:02:11.0,3141,NULL,700,0,0,07820,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_03038
1116904,47,2017-01-10 00:00:00.0,4,2017-01-10 14:08:00.0,13,173,550,0,0,16778753,7.15000009537,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,550,60,511,31,2792964,40451-2,0.0,2937090478,0.0,40,707,201701110138,NULL,173,1,0,0,0,07675,3767,0,NULL,NULL,NULL,DCS_01873
